2021-12-01 15_52_25-DellConference.jpg
2021-12-01 15_53_56-DellConference.jpg
2021-12-18 18_03_08-Zoom Meeting.jpg
2021-12-18 18_50_18-Zoom Meeting.jpg
2021-12-18 18_56_10-Zoom Meeting.jpg
2021-12-18 18_56_50-Zoom Meeting.jpg
2022-01-14 15_50_11-HeroVired--Zoom Meeting.jpg
2022-01-14 20_37_29-Meet - upGrad platform training.jpg
2022-01-14 20_54_04-Meet - upGrad platform training.jpg
2022-01-29 22_14_47-Zoom Meeting.jpg
2022-01-29 22_14_59-Zoom Meeting.jpg
2022-01-29 22_15_11-Zoom Meeting.jpg
2022-01-29 22_15_21-Zoom Meeting.jpg
2022-01-29 22_32_16-Zoom Meeting.jpg
2022-01-29 22_32_27-Zoom Meeting.jpg
2022-01-29 22_32_39-Zoom Meeting.jpg
2022-01-29 22_32_51-Zoom Meeting.jpg
2022-01-29 22_48_33-Zoom Meeting.jpg
2022-06-08 16_00_23-Zoom Webinar.jpg
2022-08-29 14_17_33-Meeting _ Microsoft Teams.png
2022-09-30 10_21_06-Webex.png
2022-09-30 10_21_15-Groove Music.png
2022-09-30 10_21_23-.png
