"Old_Name","New_Name","Date_Time",,,
"2021-10-23 19_08_58-LiveSession - upGrad.jpg","2021-10-23-19_08_58-LiveSession-upGrad.jpg","2021-10-23-19","- image: 2021-10-23-19_08_58-LiveSession-upGrad.jpg",1,"- image: 2021-10-23-19_08_58-LiveSession-upGrad.jpg"
"2021-10-30 18_43_16-LiveSession - upGrad.jpg","2021-10-30-18_43_16-LiveSession-upGrad.jpg","2021-10-30-18","- image: 2021-10-30-18_43_16-LiveSession-upGrad.jpg",2,"- image: 2021-10-30-18_43_16-LiveSession-upGrad.jpg"
"2021-10-30 19_10_46-LiveSession - upGrad.jpg","2021-10-30-19_10_46-LiveSession-upGrad.jpg","2021-10-30-19","- image: 2021-10-30-19_10_46-LiveSession-upGrad.jpg",3,"- image: 2021-10-30-19_10_46-LiveSession-upGrad.jpg"
"2021-10-31 14_09_37-LiveSession - upGrad.jpg","2021-10-31-14_09_37-LiveSession-upGrad.jpg","2021-10-31-14","- image: 2021-10-31-14_09_37-LiveSession-upGrad.jpg",4,"- image: 2021-10-31-14_09_37-LiveSession-upGrad.jpg"
"2021-10-31 14_09_57-LiveSession - upGrad.jpg","2021-10-31-14_09_57-LiveSession-upGrad.jpg","2021-10-31-14","- image: 2021-10-31-14_09_57-LiveSession-upGrad.jpg",5,"- image: 2021-10-31-14_09_57-LiveSession-upGrad.jpg"
"2021-10-31 16_41_56-LiveSession - upGrad.jpg","2021-10-31-16_41_56-LiveSession-upGrad.jpg","2021-10-31-16","- image: 2021-10-31-16_41_56-LiveSession-upGrad.jpg",6,"- image: 2021-10-31-16_41_56-LiveSession-upGrad.jpg"
"2021-11-10 21_35_37-Zoom Meeting.jpg","2021-11-10-21_35_37-Zoom-Meeting.jpg","2021-11-10-21","- image: 2021-11-10-21_35_37-Zoom-Meeting.jpg",7,"- image: 2021-11-10-21_35_37-Zoom-Meeting.jpg"
"2021-11-10 21_35_46-Zoom Meeting.jpg","2021-11-10-21_35_46-Zoom-Meeting.jpg","2021-11-10-21","- image: 2021-11-10-21_35_46-Zoom-Meeting.jpg",8,"- image: 2021-11-10-21_35_46-Zoom-Meeting.jpg"
"2021-11-12 21_36_35-Zoom Meeting.jpg","2021-11-12-21_36_35-Zoom-Meeting.jpg","2021-11-12-21","- image: 2021-11-12-21_36_35-Zoom-Meeting.jpg",9,"- image: 2021-11-12-21_36_35-Zoom-Meeting.jpg"
"2021-11-12 21_36_42-Zoom Meeting.jpg","2021-11-12-21_36_42-Zoom-Meeting.jpg","2021-11-12-21","- image: 2021-11-12-21_36_42-Zoom-Meeting.jpg",10,"- image: 2021-11-12-21_36_42-Zoom-Meeting.jpg"
"2021-11-12 21_36_49-Zoom Meeting.jpg","2021-11-12-21_36_49-Zoom-Meeting.jpg","2021-11-12-21","- image: 2021-11-12-21_36_49-Zoom-Meeting.jpg",11,"- image: 2021-11-12-21_36_49-Zoom-Meeting.jpg"
"2021-11-13 12_46_01-LiveSession - upGrad.jpg","2021-11-13-12_46_01-LiveSession-upGrad.jpg","2021-11-13-12","- image: 2021-11-13-12_46_01-LiveSession-upGrad.jpg",12,"- image: 2021-11-13-12_46_01-LiveSession-upGrad.jpg"
"2021-11-13 14_13_26-LiveSession - upGrad.jpg","2021-11-13-14_13_26-LiveSession-upGrad.jpg","2021-11-13-14","- image: 2021-11-13-14_13_26-LiveSession-upGrad.jpg",13,"- image: 2021-11-13-14_13_26-LiveSession-upGrad.jpg"
