,"Book","Type","New_Filename"
97,"A-ML-System-for-Demand-Forecasting-using-LGBM-Algorithm-ARTC.pdf","ARTC","A-ML-System-for-Demand-Forecasting-using-LGBM-Algorithm-ARTC.pdf"
63,"Advancing-mathematics-by-guiding-human-intuition-with-AI-ARTC.pdf","ARTC","Advancing-mathematics-by-guiding-human-intuition-with-AI-ARTC.pdf"
84,"AI--Insights-from-the-Science-of-Consciousness-ARTC.pdf","ARTC","AI--Insights-from-the-Science-of-Consciousness-ARTC.pdf"
228,"Cloud-Choices-for-Microsoft-Project-2013-ARTC.pdf","ARTC","Cloud-Choices-for-Microsoft-Project-2013-ARTC.pdf"
255,"Confidence-Building-Measures-for-Artificial-Intelligence-ARTC.pdf","ARTC","Confidence-Building-Measures-for-Artificial-Intelligence-ARTC.pdf"
290,"Data-Driven-Creating-a-Data-Culture-ARTC.pdf","ARTC","Data-Driven-Creating-a-Data-Culture-ARTC.pdf"
296,"Data-Mining-Process,-Techniques,-Tools-ARTC.pdf","ARTC","Data-Mining-Process,-Techniques,-Tools-ARTC.pdf"
344,"Data-Warehouse-Concepts-ARTC.pdf","ARTC","Data-Warehouse-Concepts-ARTC.pdf"
357,"Deep-Learning-Explainable-Field-Guide-ARTC.pdf","ARTC","Deep-Learning-Explainable-Field-Guide-ARTC.pdf"
464,"Fundamentals-Of-Statistics-For-Data-Scientists-ARTC.pdf","ARTC","Fundamentals-Of-Statistics-For-Data-Scientists-ARTC.pdf"
470,"Generative-AI_-Who-(or-What)-Wrote-This-ARTC.pdf","ARTC","Generative-AI_-Who-(or-What)-Wrote-This-ARTC.pdf"
514,"How-data-science-is-transforming-health-care-ARTC.pdf","ARTC","How-data-science-is-transforming-health-care-ARTC.pdf"
515,"How-Far-Are-LLM-From-Agents-with-Theory-of-Mind-ARTC.pdf","ARTC","How-Far-Are-LLM-From-Agents-with-Theory-of-Mind-ARTC.pdf"
516,"How-to-apply-machine-learning-to-demand-forecasting-ARTC.pdf","ARTC","How-to-apply-machine-learning-to-demand-forecasting-ARTC.pdf"
519,"How-to-Create-an-AI-Center-of-Excellence-for-Enterprise-ARTC.pdf","ARTC","How-to-Create-an-AI-Center-of-Excellence-for-Enterprise-ARTC.pdf"
520,"How-to-forecast-Time-Series-Data-using-Deep-Learning-ARTC.pdf","ARTC","How-to-forecast-Time-Series-Data-using-Deep-Learning-ARTC.pdf"
609,"Learning-the-parts-of-Objects-by-Non-negative-Matrix-Factorization-ARTC.pdf","ARTC","Learning-the-parts-of-Objects-by-Non-negative-Matrix-Factorization-ARTC.pdf"
623,"Linear-Algebra--a-Powerful-Tool-in-Data-Science-ARTC.pdf","ARTC","Linear-Algebra--a-Powerful-Tool-in-Data-Science-ARTC.pdf"
678,"Machine-Unlearning-in-LLMs_-In-Context-Unlearning-ARTC.pdf","ARTC","Machine-Unlearning-in-LLMs_-In-Context-Unlearning-ARTC.pdf"
687,"Mastering-Linear-Regression-with-Statsmodels-ARTC.pdf","ARTC","Mastering-Linear-Regression-with-Statsmodels-ARTC.pdf"
749,"MLOps-and-data-versioning-in-ML-Projects-ARTC.pdf","ARTC","MLOps-and-data-versioning-in-ML-Projects-ARTC.pdf"
782,"OLTP-vs-OLAP-ARTC.pdf","ARTC","OLTP-vs-OLAP-ARTC.pdf"
789,"Over-100-Data-and-Analytics-Predictions-Through-2025-ARTC.pdf","ARTC","Over-100-Data-and-Analytics-Predictions-Through-2025-ARTC.pdf"
811,"Practical-Statistics_Visualization-With-Python-_-Plotly-ARTC.pdf","ARTC","Practical-Statistics_Visualization-With-Python-_-Plotly-ARTC.pdf"
1024,"The-5-Feature-Selection-Algorithms-every-Data-Scientist-should-know-ARTC.pdf","ARTC","The-5-Feature-Selection-Algorithms-every-Data-Scientist-should-know-ARTC.pdf"
1027,"The-Art-of-Effective-Visualization-of-Multi-dimensional-Data-ARTC.pdf","ARTC","The-Art-of-Effective-Visualization-of-Multi-dimensional-Data-ARTC.pdf"
1055,"The-Next-Level-of-Data-Visualization-in-Python-ARTC.pdf","ARTC","The-Next-Level-of-Data-Visualization-in-Python-ARTC.pdf"
1104,"Ultimate-Guide-to-Data-Cleaning-ARTC.pdf","ARTC","Ultimate-Guide-to-Data-Cleaning-ARTC.pdf"
1118,"VIS-Introducing-Plotly-Express-Plotly-ARTC.pdf","ARTC","VIS-Introducing-Plotly-Express-Plotly-ARTC.pdf"
1122,"Watts-Driving-the-Cost-of-AI-Deployment-ARTC.pdf","ARTC","Watts-Driving-the-Cost-of-AI-Deployment-ARTC.pdf"
1132,"What-Is-Data-Warehousing-ARTC.pdf","ARTC","What-Is-Data-Warehousing-ARTC.pdf"
1133,"What-is-Dimensional-Model-ARTC.pdf","ARTC","What-is-Dimensional-Model-ARTC.pdf"
1134,"What-is-Exploratory-Data-Analysis-ARTC.pdf","ARTC","What-is-Exploratory-Data-Analysis-ARTC.pdf"
1137,"What-is-OLAP-ARTC.pdf","ARTC","What-is-OLAP-ARTC.pdf"
1138,"When-Less-is-More_Investigating-DataPruning-for-Pretraining-LLMs-at-Scale-ARTC.pdf","ARTC","When-Less-is-More_Investigating-DataPruning-for-Pretraining-LLMs-at-Scale-ARTC.pdf"
916,"ScrumAlliance-CollabAtScale-Prioritizing-a-BACKLOG.pdf","BACKLOG","ScrumAlliance-CollabAtScale-Prioritizing-a-BACKLOG.pdf"
2,"100-Statistical-Tests-EBOOK.pdf","BOOK","100-Statistical-Tests-EBOOK.pdf"
27,"48-ChatGPT-Prompts-Ready-to-Use-for-beginners-EBOOK.pdf","BOOK","48-ChatGPT-Prompts-Ready-to-Use-for-beginners-EBOOK.pdf"
35,"75-Days-Coding-EBOOK.pdf","BOOK","75-Days-Coding-EBOOK.pdf"
37,"97-Things-Every-Data-Engineer-should-know-EBOOK.pdf","BOOK","97-Things-Every-Data-Engineer-should-know-EBOOK.pdf"
41,"A_Course_in_Machine_Learning_byHalDaume-BOOK.pdf","BOOK","A_Course_in_Machine_Learning_byHalDaume-BOOK.pdf"
45,"A-Brief-Introduction-NeuralNetwork-by-DavidKriesel-BOOK.pdf","BOOK","A-Brief-Introduction-NeuralNetwork-by-DavidKriesel-BOOK.pdf"
46,"A-Brief-Review-of-Machine-Learning-Models-_-Explainability-EBOOK.pdf","BOOK","A-Brief-Review-of-Machine-Learning-Models-_-Explainability-EBOOK.pdf"
48,"A-Comprehensive-Guide-to-Machine-Learning-BOOK.pdf","BOOK","A-Comprehensive-Guide-to-Machine-Learning-BOOK.pdf"
49,"A-Concrete-Introduction-to-Higher-Algebra-BOOK.pdf","BOOK","A-Concrete-Introduction-to-Higher-Algebra-BOOK.pdf"
51,"A-course-in-Time-Series-Analysis-EBOOK.pdf","BOOK","A-course-in-Time-Series-Analysis-EBOOK.pdf"
66,"A-First-Course-in-AI-by-DeepakKhemani-EBOOK.pdf","BOOK","A-First-Course-in-AI-by-DeepakKhemani-EBOOK.pdf"
67,"A-First-Course-in-Artificial-Intelligence-BOOK.pdf","BOOK","A-First-Course-in-Artificial-Intelligence-BOOK.pdf"
