,Book,Pages,Size(MB)
0,100+ AI Use Cases Applications In depth GUIDE.pdf,17,0.758
6,10 Projects to Transition to Data Science Roles GUIDE.pdf,12,3.83
8,10 Useful Ways to Visualise YourData GUIDE.pdf,12,0.55
13,14 Powerful Visuals About Psychology Life GUIDE.pdf,15,1.271
14,180 Days Data Science Study Plan GUIDE.pdf,3,0.257
16,2020 Scrum Guide US GUIDE.pdf,14,0.243
17,2021 Executive Guide to Data Science and AI GUIDE.pdf,60,4.257
19,20 Python Libraries GUIDE.pdf,74,4.122
31,5 ways to access news as a data source GUIDE.pdf,13,1.039
32,60 ChatGPT prompts for Data Science GUIDE.pdf,67,11.104
36,9 Googling tips GUIDE.pdf,11,0.262
37,9 HTTP Methods GUIDE.pdf,24,11.159
51,Advanced Analytics PowerBI GUIDE.pdf,18,1.437
55,Advanced Excel GUIDE.pdf,35,1.678
70,Agile estimation GUIDE.pdf,32,3.474
91,Amazon Machine Learning Developer GUIDE.pdf,146,2.136
95,Analytics and AI Strategy GUIDE.pdf,16,0.994
98,An Introduction to Cyber Security GUIDE.pdf,19,3.545
122,A Practical Introduction to Python Programming GUIDE.pdf,52,0.298
140,A Visual Introduction to Deep Learning GUIDE.pdf,42,5.284
142,AWS Certified Solutions Architect Associate Exam GUIDE.pdf,199,3.191
148,Azure Developer GUIDE.pdf,123,2.463
157,Basic Data Science Termonology GUIDE.pdf,22,2.013
158,Basic Guide to SQL GUIDE.pdf,89,0.595
169,Beginners Guide to Analytics GUIDE.pdf,50,6.808
190,Blockchain GUIDE.pdf,232,28.348
191,Blockchain Reference GUIDE.pdf,125,1.483
193,Bright Data s Solution Diagram GUIDE.pdf,12,0.341
196,Build E2E Data Driven Apps on AWS GUIDE.pdf,27,1.973
199,Building LLM chatbots A Step by Step GUIDE.pdf,10,0.532
200,Business Analysis Best Practices GUIDE.pdf,46,0.847
201,Business Analysis Techniques GUIDE.pdf,29,0.236
205,Business Writing Style GUIDE.pdf,138,4.48
208,Career guide for product managers GUIDE.pdf,139,5.292
213,chatGPT 3 best practices GUIDE.pdf,6,0.947
216,Checklist to become a Data Scientist GUIDE.pdf,11,1.729
218,CICD GUIDE.pdf,33,10.417
220,CICD with Docker GUIDE.pdf,92,3.364
227,Cloud Security Best Practices GUIDE.pdf,55,0.919
236,Communications Skills for Managers GUIDE.pdf,41,0.125
