"Sno","Book","Pages","Size(MB)","Sno | Book | Pages | Size(MB)"
1,"10 Advanced Data Pipeline Strategies PPT.pdf",14,13.064,"1 | 10 Advanced Data Pipeline Strategies PPT.pdf | 14 | 13.064"
2,"10 Powerful visuals about psychology and life PPT.pdf",10,0.7,"2 | 10 Powerful visuals about psychology and life PPT.pdf | 10 | 0.7"
3,"12 Design patterns PPT.pdf",40,0.499,"3 | 12 Design patterns PPT.pdf | 40 | 0.499"
4,"13 Data Science Questions for DS Project PPT.pdf",19,0.955,"4 | 13 Data Science Questions for DS Project PPT.pdf | 19 | 0.955"
5,"33 Ways to Tableau by Ryan Sleeper PPT.pdf",124,14.196,"5 | 33 Ways to Tableau by Ryan Sleeper PPT.pdf | 124 | 14.196"
6,"38 Free Courses on Coursera for Data Science PPT.pdf",8,0.448,"6 | 38 Free Courses on Coursera for Data Science PPT.pdf | 8 | 0.448"
7,"83+Datasets from Google PPT.pdf",10,2.238,"7 | 83+Datasets from Google PPT.pdf | 10 | 2.238"
8,"A3 Thinking Great 40 Infographics for Continuous Improvement PPT.pdf",39,4.939,"8 | A3 Thinking Great 40 Infographics for Continuous Improvement PPT.pdf | 39 | 4.939"
9,"A Comprehensive Guide for Visualization PPT.pdf",37,8.843,"9 | A Comprehensive Guide for Visualization PPT.pdf | 37 | 8.843"
10,"A detailed presentation on MLOPS PPT.pdf",33,2.365,"10 | A detailed presentation on MLOPS PPT.pdf | 33 | 2.365"
11,"Advance Introduction to Machine Learning CMU PPT.pdf",51,2.299,"11 | Advance Introduction to Machine Learning CMU PPT.pdf | 51 | 2.299"
12,"Advantages Disadvantages of k Means and Hierarchical clustering PPT.pdf",5,0.065,"12 | Advantages Disadvantages of k Means and Hierarchical clustering PPT.pdf | 5 | 0.065"
13,"A gentle introduction to Generative AI PPT.pdf",19,0.582,"13 | A gentle introduction to Generative AI PPT.pdf | 19 | 0.582"
14,"AI here and now PPT.pdf",77,7.461,"14 | AI here and now PPT.pdf | 77 | 7.461"
15,"AI ML DS Infographics BY Poetter Compris PPT.pdf",239,40.909,"15 | AI ML DS Infographics BY Poetter Compris PPT.pdf | 239 | 40.909"
16,"All about Docker PPT.pdf",9,0.815,"16 | All about Docker PPT.pdf | 9 | 0.815"
17,"ANN3 DeepLearning PPT.pdf",104,2.85,"17 | ANN3 DeepLearning PPT.pdf | 104 | 2.85"
18,"ANN PPT.pdf",30,1.738,"18 | ANN PPT.pdf | 30 | 1.738"
19,"Artificial Neural Network PPT.pdf",30,1.738,"19 | Artificial Neural Network PPT.pdf | 30 | 1.738"
20,"A to Z of AIML A Quick Introduction to AI+ML Capabilties and Tools PPT.pdf",65,4.529,"20 | A to Z of AIML A Quick Introduction to AI+ML Capabilties and Tools PPT.pdf | 65 | 4.529"
21,"Basic Intro to PySpark Building Data Engineering Pipelines in Python PPT.pdf",46,0.835,"21 | Basic Intro to PySpark Building Data Engineering Pipelines in Python PPT.pdf | 46 | 0.835"
22,"Basics of Business Analysis PPT.pdf",111,2.606,"22 | Basics of Business Analysis PPT.pdf | 111 | 2.606"
23,"Basics of cloud computing PPT.pdf",8,8.277,"23 | Basics of cloud computing PPT.pdf | 8 | 8.277"
24,"Beginners guide to data science a twics guide PPT.pdf",41,2.099,"24 | Beginners guide to data science a twics guide PPT.pdf | 41 | 2.099"
25,"Best Practices for Data Engineering 1 PPT.pdf",7,1.928,"25 | Best Practices for Data Engineering 1 PPT.pdf | 7 | 1.928"
26,"BigBook Experimentation Casestudies PPT.pdf",101,6.419,"26 | BigBook Experimentation Casestudies PPT.pdf | 101 | 6.419"
27,"Billion Scale Approximate Nearest Neighbor Search PPT.pdf",115,3.448,"27 | Billion Scale Approximate Nearest Neighbor Search PPT.pdf | 115 | 3.448"
28,"Box Plot and Identifying Outliers PPT.pdf",11,0.344,"28 | Box Plot and Identifying Outliers PPT.pdf | 11 | 0.344"
29,"Causal Reinformcement Learning by Elias Berinboim PPT.pdf",147,9.248,"29 | Causal Reinformcement Learning by Elias Berinboim PPT.pdf | 147 | 9.248"
30,"Certified Kubernetes Security Specialist (CKS) PPT.pdf",173,5.809,"30 | Certified Kubernetes Security Specialist (CKS) PPT.pdf | 173 | 5.809"
31,"chatGPT for Cybersecurity Session1 PPT.pdf",34,3.67,"31 | chatGPT for Cybersecurity Session1 PPT.pdf | 34 | 3.67"
32,"ChatGPT with Reinforcment Learning PPT.pdf",71,6.896,"32 | ChatGPT with Reinforcment Learning PPT.pdf | 71 | 6.896"
33,"CICD Best Practices by Klokwork PPT.pdf",12,0.674,"33 | CICD Best Practices by Klokwork PPT.pdf | 12 | 0.674"
34,"Cloud Application Architecture PPT.pdf",154,8.514,"34 | Cloud Application Architecture PPT.pdf | 154 | 8.514"
35,"Clustering Analysis PPT.pdf",102,7.164,"35 | Clustering Analysis PPT.pdf | 102 | 7.164"
36,"Clustering and Machine Learning PPT.pdf",20,0.488,"36 | Clustering and Machine Learning PPT.pdf | 20 | 0.488"
37,"CNN Algorithm MNIST PPT.pdf",9,1.547,"37 | CNN Algorithm MNIST PPT.pdf | 9 | 1.547"
38,"Completes guide on stable diffusion Prompts PPT.pdf",105,25.467,"38 | Completes guide on stable diffusion Prompts PPT.pdf | 105 | 25.467"
39,"Curated list of blogs and books for Product Managers PPT.pdf",7,0.816,"39 | Curated list of blogs and books for Product Managers PPT.pdf | 7 | 0.816"
40,"Data Analytics Pipeline PPT.pdf",11,7.33,"40 | Data Analytics Pipeline PPT.pdf | 11 | 7.33"
41,"Database vs Data Warehouse vs Data Lake PPT.pdf",8,2.824,"41 | Database vs Data Warehouse vs Data Lake PPT.pdf | 8 | 2.824"
42,"Data Cleaning PPT.pdf",15,0.887,"42 | Data Cleaning PPT.pdf | 15 | 0.887"
43,"Data Integration Introduction PPT.pdf",34,3.255,"43 | Data Integration Introduction PPT.pdf | 34 | 3.255"
44,"Data ML Services on GCP PPT.pdf",10,7.33,"44 | Data ML Services on GCP PPT.pdf | 10 | 7.33"
45,"Data Modeling for Data Engineers PPT.pdf",8,0.19,"45 | Data Modeling for Data Engineers PPT.pdf | 8 | 0.19"
46,"Data Pipeline PPT.pdf",13,1.029,"46 | Data Pipeline PPT.pdf | 13 | 1.029"
47,"Data pipelines from zero to SOLID PPT.pdf",58,0.584,"47 | Data pipelines from zero to SOLID PPT.pdf | 58 | 0.584"
48,"Data Science Applications use Cases PPT.pdf",28,1.243,"48 | Data Science Applications use Cases PPT.pdf | 28 | 1.243"
