,Book,Pages,Size(MB)
284,Data Mesh Book TOC.pdf,8,1.39
341,Deep Learning by IanGoodfellow TOC.pdf,66,0.954
375,DevOps Training Content TOC.pdf,13,0.382
445,Frontend Developer ROADMAP TOC.pdf,6,1.977
556,Introduction to Statistical Learning TOC.pdf,11,0.215
624,Machine+Learning+Dev+Ops+Engineer+Nanodegree+Program TOC.pdf,16,0.961
657,Machine Learning with Python TOC.pdf,8,1.03
779,Phynance TOC.pdf,4,0.051
855,Pytorch TOC.pdf,19,0.267
881,Resources for Datascientists TOC.pdf,10,0.226
1114,Zero to Advance in DSA 50 Days Challenge TOC.pdf,21,6.4
