,Book,Pages,Size(MB)
1,100 Statistical Tests EBOOK.pdf,257,0.895
25,48 ChatGPT Prompts Ready to Use for beginners EBOOK.pdf,49,2.369
33,75 Days Coding EBOOK.pdf,32,4.337
35,97 Things Every Data Engineer should know EBOOK.pdf,263,49.702
41,A Brief Introduction NeuralNetwork by DavidKriesel BOOK.pdf,244,6.064
42,A Brief Review of Machine Learning Models Explainability EBOOK.pdf,15,1.122
45,A Comprehensive Guide to Machine Learning BOOK.pdf,185,23.675
46,A Concrete Introduction to Higher Algebra BOOK.pdf,585,4.544
48,A Course in Machine Learning byHalDaume BOOK.pdf,193,2.515
49,A course in Time Series Analysis EBOOK.pdf,300,2.36
52,Advanced Analytics with Spark BOOK.pdf,276,5.425
53,Advanced Data Analysis from an Elementary Point of View BOOK.pdf,861,8.766
54,Advanced Deep Learning with TensorFlow2 BOOK.pdf,513,20.076
57,Advanced Python Tips BOOK.pdf,50,8.009
58,Advanced Research On Ai For Science Energy And Security EBOOK.pdf,206,7.081
59,Advanced Topics in Linear Algebra Weaving Matrix Problems through the Weyr Form EBOOK.pdf,423,2.094
64,A First Course in AI by DeepakKhemani EBOOK.pdf,1151,25.34
66,A Gentle Introduction to Optimization EBOOK.pdf,403,6.681
68,Agile Data Engine ADE Guide to DataOps EBOOK.pdf,21,0.862
69,Agile Data Science 2.0 Building Full Stack Data Analytics Applications with Spark BOOK.pdf,351,11.509
75,AI and International Conflict in Cyberspace EBOOK.pdf,279,5.182
76,AI for Data Science EBOOK.pdf,295,2.349
77,"AI for Science, Energy and Security EBOOK.pdf",206,6.633
82,Algorithmic Aspects of Machine Learning BOOK.pdf,249,1.432
83,Algorithmic High Dimensional Robust Statistics EBOOK.pdf,296,3.546
85,Algorithms for Decision Making EBOOK.pdf,700,12.171
90,All Of Statistics A Concise Course in Statistical Inference by Larry BOOK.pdf,446,23.286
94,A Modern Approach to Regression with R EBOOK.pdf,397,6.446
96,Analytics in a Big Data World The Essential Guide to Data Science and its Applications BOOK.pdf,252,4.027
99,An Introduction to Data Everything You Need to Know about AI and Bigdata EBOOK.pdf,131,2.579
100,An Introduction to Genetic Algorithms BOOK.pdf,162,2.039
101,An introduction to graph theory EBOOK.pdf,422,3.058
102,An Introduction To Machine Learning byMiroslav BOOK.pdf,348,4.505
103,An Introduction to Python Programming by ByteSize EBOOK.pdf,223,6.593
104,An Introduction to Statistical Learning with Application in R BOOK.pdf,440,10.64
105,An Introduction to Statistical Learning with Applications in R Second Edition EBOOK.pdf,615,21.171
106,An Introduction to the Philosophy of Time and Space EBOOK.pdf,246,32.468
112,API lifecycle EBOOK.pdf,121,13.503
117,Applied NLP with Python EBOOK.pdf,158,2.92
118,Approaching (Almost) Any Machine Learning Problem EBOOK.pdf,300,8.046
119,Approaching Any machine learning problem EBOOK.pdf,300,8.046
120,A practical guide for testing for DEVOPS EBOOK.pdf,167,5.086
123,A Primer to the 42 Most commonly used ML Algorithms EBOOK.pdf,33,1.811
125,A Programmers Guide to Data Mining BOOK.pdf,299,10.556
126,Architecture EBOOK.pdf,153,13.573
128,Artificial Intelligence Implications for Business Strategy BOOK.pdf,241,4.807
131,Artificial Neural Networks with Java Tools for Building Neural Network Applications EBOOK.pdf,575,12.148
132,A Smarter way to Learn Python EBOOK.pdf,234,1.856
139,"Automated Machine Learning Methods, Systems, Challenges BOOK.pdf",222,6.482
147,Azure ComputerVision Jun2021 EBOOK.pdf,289,17.197
163,Bayesian Reasoning and Machine Learning BOOK.pdf,680,13.661
164,Bayes theorem A Visual Introduction for Beginner EBOOK.pdf,178,1.54
165,BAYESUVIUS A Visual Dictionary of Bayesian Networks and Causal Inference BOOK.pdf,484,5.39
166,Baysian Reasoning Machine Learning BOOK.pdf,690,15.652
