,Book,Pages,Size(MB)
146,AZ 900 NOTEBOOK.pdf,61,11.264
152,Azure ML NOTEBOOK.pdf,240,7.659
243,Complete Machine learning Notes from Andrew Ng NOTEBOOK.pdf,170,20.754
273,Databricks dbutils NOTEBOOK.pdf,34,3.244
465,GitLab NOTEBOOK.pdf,13,2.635
490,Hands on Sentiment Analysis with ChatGPT+Classification NOTEBOOK.pdf,15,1.567
596,Learn Python Simple Way NOTEBOOK.pdf,299,12.413
645,Machine Learning NOTEBOOK.pdf,120,4.916
691,Math of ML NOTEBOOK.pdf,194,3.053
739,Models of Learning and Optimization for Data Scientists NOTEBOOK.pdf,96,9.989
774,Pandas Powerful Python data analysis NOTEBOOK.pdf,3605,14.682
785,Postman NOTEBOOK.pdf,24,1.804
804,Probability and Statistics Cookbook NOTEBOOK.pdf,28,0.959
956,Statistics in data science part 2+3+4 NOTEBOOK.pdf,37,18.164
1004,The Definitive Guide to DAX NOTEBOOK.pdf,1618,78.654
1021,The Mathematics of Multiple Linear Regression NOTEBOOK.pdf,27,1.6
1041,The Ultimate Web3 CFO Guide NOTEBOOK.pdf,109,35.115
1090,VIS Visualization in plotly with R NOTEBOOK.pdf,2,2.6
