,Book,Pages,Size(MB)
15,2018 Namami Digitiation REPORT.pdf,83,45.205
18,2023 Cybersecurity Terms Summary REPORT.pdf,117,22.174
20,23 Augmented Reality Trends to Keep an Eye on for 2023 REPORT.pdf,25,67.869
22,30 UseCases for the Metaverse Q4 2022 REPORT.pdf,187,91.191
29,50 Ways Impact Business AI RapidMiner REPORT.pdf,65,12.866
30,50 YearsDataScience REPORT.pdf,41,0.414
43,A Compact Guide to Large Language Models REPORT.pdf,9,0.783
63,Adversarial Machine Learning Attacks and Mitigations REPORT.pdf,73,2.545
67,Agile AI REPORT.pdf,53,1.487
74,AI and Education REPORT.pdf,23,10.978
81,AI powered marketing and sales & generative AI REPORT.pdf,11,1.299
88,A list with over 150 Biases Cognitive+Social+Memory REPORT.pdf,26,1.384
97,An Introduction to Cloud Databases REPORT.pdf,48,1.712
116,Application Security Testing REPORT.pdf,43,1.106
121,A Practical Guide to Getting Started with DevOps REPORT.pdf,36,8.834
124,A Primer to the 42 Most commonly used ML Algorithms REPORT.pdf,33,1.811
127,Artificial Intelligence And Cybersecurity Research REPORT.pdf,40,1.601
129,Artificial Intelligence Index Report 2023 REPORT.pdf,386,24.133
136,Attacks on TCP REPORT.pdf,39,1.516
138,"Autoencoders, Convolutional Neural Networks and Recurrent Neural Networks REPORT.pdf",20,2.24
144,AWS MLOps Emerging Trend in Data Code and Infra REPORT.pdf,25,0.67
155,Banking on Generative AI REPORT.pdf,14,3.446
156,Baseline Cyber Security Controls REPORT.pdf,20,1.169
168,Beauty in Mathematics REPORT.pdf,4,0.145
172,Benefits of metaverse REPORT.pdf,4,0.022
176,Best Practices for ML Engineering REPORT.pdf,24,0.439
179,Big book of data science REPORT.pdf,120,15.628
181,Big Data Analytics Overview REPORT.pdf,61,1.241
182,Big Data and AI Strategies Machine Learning and Alternative Data Approach to Investing REPORT.pdf,280,11.015
184,Big Data Casestudy Collection REPORT.pdf,32,1.175
186,Bigdata Hadoop and Spark Performance for the enterprise REPORT.pdf,20,2.135
194,Bringing Data Lakes and Data Warehouses Together REPORT.pdf,19,7.626
197,Building Data Science Teams REPORT.pdf,26,2.681
225,Cloud Design Patterns REPORT.pdf,236,12.978
232,Coding in SQL and Pyspark REPORT.pdf,9,0.591
234,Comet Standardizing ML Experiment REPORT.pdf,18,1.011
235,Communication Skills REPORT.pdf,42,1.222
240,Complete Data Structures and Algorithms Roadmap REPORT.pdf,102,0.931
254,Cost of Data Breach Study 2020 byIBMSecurity REPORT.pdf,82,2.616
291,Data Quality Fundamentals REPORT.pdf,25,2.019
321,Data Visualization1 How to Pick the Right Chart Type REPORT.pdf,16,1.821
322,Data Visualization2 How to Pick the Right Chart Type REPORT.pdf,24,1.753
331,Data Visualization storytelling REPORT.pdf,25,5.998
363,Demo Model Card REPORT.pdf,15,1.969
373,DevOps Setups A Benchmarking Study REPORT.pdf,29,2.361
401,ENISA Good Practices for Security of IoT REPORT.pdf,132,3.84
421,Expert Systems with Applications REPORT.pdf,21,0.189
434,FinOps with Azure REPORT.pdf,20,8.171
439,Foundations of Data Science REPORT.pdf,39,0.785
449,fundamentals of mlops REPORT.pdf,17,0.892
451,Fundamental Value in Crypto REPORT.pdf,20,2.374
460,Gen Z and the Metaverse REPORT.pdf,19,23.333
461,Getting Analytics Right REPORT.pdf,43,11.953
462,Getting Started with Artificial Intelligence REPORT.pdf,85,3.979
464,Getting Your First Job in Data Science REPORT.pdf,76,2.561
471,Governing The Metaverse REPORT.pdf,38,6.634
478,GS Navigating the AI Era REPORT.pdf,13,2.269
495,Hierarchical Clustering Dendrograms REPORT.pdf,15,0.255
518,Improving ICS Cybersecurity with Defense In Depth Strategies REPORT.pdf,58,6.098
522,Instruction FineTuning Pipeline Methodology REPORT.pdf,11,6.245
523,"Intech Machine Learning Algorithms, Models and Applications REPORT.pdf",154,6.323
573,Knowledge Graphs Data in Context Responsive REPORT.pdf,87,7.164
600,Learn Tabluea in 30days REPORT.pdf,62,8.823
616,Little Book of Business Analysis REPORT.pdf,69,1.552
639,Machine Learning From Scratch REPORT.pdf,109,1.083
690,Math of Deep Learning Neural Networks REPORT.pdf,9,2.179
696,Metaverse MarketReport REPORT.pdf,28,3.748
704,Microsoft Power BI REPORT.pdf,47,1.772
724,Migrating BigData Analytics into the Cloud REPORT.pdf,16,2.967
729,ML for Absolute Beginners REPORT.pdf,57,0.739
731,ML for Financial Markets REPORT.pdf,15,0.865
735,MLOps in Microsoft REPORT.pdf,6,0.73
746,Move your data science to production Saturn Cloud REPORT.pdf,29,2.354
760,NLP Metrics REPORT.pdf,10,0.286
781,Policy brief Crypto web3 and the metaverse REPORT.pdf,17,2.183
801,Principles of Data Analysis By Prasenjit Saha REPORT.pdf,81,0.691
857,Quality Measuring Tools REPORT.pdf,64,1.018
859,Quantum computing Emerging ecosystem ndustry use cases REPORT.pdf,40,2.603
860,Quantum Computing Networking and Security REPORT.pdf,57,1.864
869,Real Time BigData Analytics Emerging Architecture REPORT.pdf,31,6.454
879,Relevance and impact of AI for company law REPORT.pdf,14,0.8
886,Review of Probability Theory REPORT.pdf,12,0.296
888,Robustness and Explainability of Artificial Intelligence REPORT.pdf,40,1.915
890,R Programming for ANY Team REPORT.pdf,21,1.085
898,Security Implications of ChatGPT REPORT.pdf,54,2.981
903,Semantic Layer for Data Analytics REPORT.pdf,5,1.105
912,Smart Factories for Small to Medium Manufacturers REPORT.pdf,11,0.14
913,Social Anxiety And Social PhobiaIn REPORT.pdf,225,2.197
937,Starting a Career in Data Science REPORT.pdf,33,6.559
946,Statistical Modeling The Two Cultures REPORT.pdf,33,0.296
966,Super study guide data science tools REPORT.pdf,23,2.817
986,Test Plan REPORT.pdf,10,0.264
987,TGN Temporal Graph Networks for Dynamic Graphs REPORT.pdf,26,3.34
992,The 5 most influential visuals REPORT.pdf,9,1.305
993,The AI revolution in scientific research REPORT.pdf,10,2.529
1006,The economic potential of Generative AI REPORT.pdf,68,7.083
1012,The Field Guided to Data Science REPORT.pdf,126,12.744
1015,The Future of Generative AI REPORT.pdf,80,4.47
1027,The Promise and Peril of Generative AI REPORT.pdf,4,0.299
1036,The Smart Man's Guide to Quantum REPORT.pdf,21,3.7
1037,The state of DevOps Tools REPORT.pdf,80,5.481
1040,The Ultimate Guide to Effective Data Collection REPORT.pdf,43,0.582
1042,The White Book of Big Data REPORT.pdf,66,1.963
1055,Tokenization of Infrastructure A blockchain REPORT.pdf,45,1.854
1057,Top 12 AI Tools Frameworks You Need to Know REPORT.pdf,13,2.633
1058,Top 17 Must Read AI Papers of 2022 REPORT.pdf,6,0.236
1059,Top 25 Penetration Testing Tools REPORT.pdf,4,0.297
1062,Top IT Companies list REPORT.pdf,40,0.622
1074,Ultimate Guide for Salesforce REPORT.pdf,46,5.889
1082,Use Cases of Generative AI REPORT.pdf,119,7.677
1083,Use of Sanskrit for Natural Language Processing REPORT.pdf,4,0.265
1084,Value creation in the metaverse REPORT.pdf,77,7.079
1087,VIS Building effective dashboards REPORT.pdf,14,1.76
1093,Web3.0 Internet of the New Era REPORT.pdf,17,1.654
1095,Web3 beyond the hype REPORT.pdf,11,0.88
1104,What is in my AI REPORT.pdf,26,2.35
